"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_logout","tests.pytest","Fri Jun 19 16:03:39 UTC 2026","passed","Fri Jun 19 16:03:39 UTC 2026","TestUserAuthentication","test_marks","",""
"","1500","Check displaying of empty courses list","LMS system","Fri Jun 19 16:03:33 UTC 2026","passed","Fri Jun 19 16:03:34 UTC 2026","Courses","Courses","",""
"","1","test_forgot_password_link","tests.pytest","Fri Jun 19 16:03:39 UTC 2026","passed","Fri Jun 19 16:03:39 UTC 2026","TestUserInterface","test_marks","",""
"","1924","Registration with correct email, username and password","LMS system","Fri Jun 19 16:03:29 UTC 2026","passed","Fri Jun 19 16:03:31 UTC 2026","Registration","Authentication","",""
"","1427","Navigation from login page to registration page","LMS system","Fri Jun 19 16:03:31 UTC 2026","passed","Fri Jun 19 16:03:32 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Fri Jun 19 16:03:40 UTC 2026","passed","Fri Jun 19 16:03:40 UTC 2026","TestUserAuthentication","test_marks","",""
"","1892","Check displaying of dashboard page","LMS system","Fri Jun 19 16:03:37 UTC 2026","passed","Fri Jun 19 16:03:39 UTC 2026","Dashboard","Dashboard","",""
"","2568","Create course","LMS system","Fri Jun 19 16:03:34 UTC 2026","passed","Fri Jun 19 16:03:36 UTC 2026","Courses","Courses","",""
"","2996","User login with correct email and password","LMS system","Fri Jun 19 16:03:27 UTC 2026","passed","Fri Jun 19 16:03:30 UTC 2026","Authorization","Authentication","",""
"","1863","User login with wrong email or password","LMS system","Fri Jun 19 16:03:25 UTC 2026","passed","Fri Jun 19 16:03:27 UTC 2026","Authorization","Authentication","",""
"","1778","User login with wrong email or password","LMS system","Fri Jun 19 16:03:25 UTC 2026","passed","Fri Jun 19 16:03:27 UTC 2026","Authorization","Authentication","",""
"","1616","User login with wrong email or password","LMS system","Fri Jun 19 16:03:27 UTC 2026","passed","Fri Jun 19 16:03:29 UTC 2026","Authorization","Authentication","",""
"","4264","Edit course","LMS system","Fri Jun 19 16:03:35 UTC 2026","passed","Fri Jun 19 16:03:39 UTC 2026","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","Fri Jun 19 16:03:39 UTC 2026","passed","Fri Jun 19 16:03:39 UTC 2026","TestUserAuthentication","test_marks","",""
