"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 09 09:09:58 UTC 2026","Tue Jun 09 09:09:58 UTC 2026","0","tests.pytest","test_marks","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Jun 09 09:09:54 UTC 2026","Tue Jun 09 09:09:57 UTC 2026","3305","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 09 09:09:44 UTC 2026","Tue Jun 09 09:09:46 UTC 2026","2264","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 09:09:52 UTC 2026","Tue Jun 09 09:09:54 UTC 2026","1691","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 09 09:09:58 UTC 2026","Tue Jun 09 09:09:58 UTC 2026","0","tests.pytest","test_marks","TestUserAuthentication","","","test_login",""
"passed","Tue Jun 09 09:10:00 UTC 2026","Tue Jun 09 09:10:02 UTC 2026","1643","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 09 09:09:44 UTC 2026","Tue Jun 09 09:09:46 UTC 2026","1881","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 09:09:58 UTC 2026","Tue Jun 09 09:09:58 UTC 2026","0","tests.pytest","test_marks","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Jun 09 09:09:51 UTC 2026","Tue Jun 09 09:09:53 UTC 2026","2144","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jun 09 09:09:55 UTC 2026","Tue Jun 09 09:09:59 UTC 2026","4366","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 09 09:09:48 UTC 2026","Tue Jun 09 09:09:50 UTC 2026","1650","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jun 09 09:09:46 UTC 2026","Tue Jun 09 09:09:48 UTC 2026","1575","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 09:09:47 UTC 2026","Tue Jun 09 09:09:50 UTC 2026","3195","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jun 09 09:09:58 UTC 2026","Tue Jun 09 09:09:58 UTC 2026","1","tests.pytest","test_marks","TestUserAuthentication","","","test_logout",""
